192.241.215.151 - - [17/Oct/2022:00:10:20 +0300] "-" 400 1985
52.209.192.143 - - [17/Oct/2022:14:55:20 +0300] "GET /server/api/core/sites HTTP/1.1" 200 682
52.209.192.143 - - [17/Oct/2022:14:55:20 +0300] "GET /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/c8ec278e-5270-47e6-8145-82c7c60a1eef&feature=isCommunityAdmin&embed=feature HTTP/1.1" 200 359
52.209.192.143 - - [17/Oct/2022:14:55:20 +0300] "GET /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/c8ec278e-5270-47e6-8145-82c7c60a1eef&feature=isCollectionAdmin&embed=feature HTTP/1.1" 200 360
52.209.192.143 - - [17/Oct/2022:14:55:20 +0300] "GET /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/c8ec278e-5270-47e6-8145-82c7c60a1eef&feature=administratorOf&embed=feature HTTP/1.1" 200 358
52.209.192.143 - - [17/Oct/2022:14:55:20 +0300] "GET /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/c8ec278e-5270-47e6-8145-82c7c60a1eef&feature=canManageGroups&embed=feature HTTP/1.1" 200 358
52.209.192.143 - - [17/Oct/2022:14:55:20 +0300] "GET /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/c8ec278e-5270-47e6-8145-82c7c60a1eef&feature=epersonRegistration&embed=feature HTTP/1.1" 200 1715
105.71.146.179 - - [17/Oct/2022:14:55:23 +0300] "GET /server/api/core/bitstreams/4472e4fc-ba66-46ee-a94f-0dfe8b427f66/content HTTP/1.1" 200 17637
105.71.146.179 - - [17/Oct/2022:14:55:23 +0300] "GET /server/api/core/bitstreams/f3403952-f940-4b36-b5b3-cfb1fd0aa63d/content HTTP/1.1" 200 37963
105.71.146.179 - - [17/Oct/2022:14:55:24 +0300] "GET /server/api/core/bitstreams/0a8eb756-acca-41e9-a708-143e0ccbb53e/content HTTP/1.1" 200 4658
105.71.146.179 - - [17/Oct/2022:14:55:24 +0300] "GET /server/api/core/bitstreams/e9453670-fabb-4d26-ae67-fbce33bf6f72/content HTTP/1.1" 200 20032
105.71.146.179 - - [17/Oct/2022:14:55:24 +0300] "GET /server/api/core/bitstreams/834cc5a9-0efe-4285-b801-8f2d13c951b3/content HTTP/1.1" 200 5650
105.71.146.179 - - [17/Oct/2022:14:55:27 +0300] "OPTIONS /server/api/authn/status HTTP/1.1" 200 5
105.71.146.179 - - [17/Oct/2022:14:55:27 +0300] "OPTIONS /server/api/config/properties/google.analytics.key HTTP/1.1" 200 5
105.71.146.179 - - [17/Oct/2022:14:55:27 +0300] "GET /server/api/authn/status HTTP/1.1" 200 450
105.71.146.179 - - [17/Oct/2022:14:55:28 +0300] "GET /server/api/config/properties/google.analytics.key HTTP/1.1" 404 187
105.71.146.179 - - [17/Oct/2022:14:55:28 +0300] "OPTIONS /server/api HTTP/1.1" 200 5
105.71.146.179 - - [17/Oct/2022:14:55:28 +0300] "OPTIONS /server/api/config/properties/registration.verification.enabled HTTP/1.1" 200 5
105.71.146.179 - - [17/Oct/2022:14:55:28 +0300] "GET /server/api HTTP/1.1" 200 6798
105.71.146.179 - - [17/Oct/2022:14:55:28 +0300] "GET /server/api/config/properties/registration.verification.enabled HTTP/1.1" 200 257
105.71.146.179 - - [17/Oct/2022:14:55:28 +0300] "GET /server/api HTTP/1.1" 200 6798
105.71.146.179 - - [17/Oct/2022:14:55:28 +0300] "OPTIONS /server/api/authz/authorizations/search/object?uri=http://52.209.192.143:7077/server/api/core/sites/c8ec278e-5270-47e6-8145-82c7c60a1eef&feature=isCollectionAdmin&embed=feature HTTP/1.1" 200 5
